"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
24.25,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147,-64.9599037174,-54.8884171147,-54.8884171147
24.3,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382,-64.9603007099,-54.8884151382,-54.8884151382
24.35,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905,-64.9606937719,-54.8884131905,-54.8884131905
24.4,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714,-64.9610829422,-54.8884112714,-54.8884112714
24.45,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803,-64.9614682593,-54.8884093803,-54.8884093803
24.5,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168,-64.9618497614,-54.8884075168,-54.8884075168
24.55,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806,-64.9622274862,-54.8884056806,-54.8884056806
24.6,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713,-64.9626014712,-54.8884038713,-54.8884038713
24.65,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884,-64.9629717533,-54.8884020884,-54.8884020884
24.7,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315,-64.9633383693,-54.8884003315,-54.8884003315
24.75,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004,-64.9637013555,-54.8883986004,-54.8883986004
24.8,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945,-64.9640607477,-54.8883968945,-54.8883968945
24.85,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137,-64.9644165816,-54.8883952137,-54.8883952137
24.9,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573,-64.9647688923,-54.8883935573,-54.8883935573
24.95,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252,-64.9651177149,-54.8883919252,-54.8883919252
25.0,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317,-64.9654630837,-54.888390317,-54.888390317
25.05,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323,-64.9658050331,-54.8883887323,-54.8883887323
25.1,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707,-64.9661435968,-54.8883871707,-54.8883871707
25.15,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632,-64.9664788084,-54.888385632,-54.888385632
25.2,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158,-64.9668107011,-54.8883841158,-54.8883841158
25.25,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218,-64.9671393077,-54.8883826218,-54.8883826218
25.3,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496,-64.9674646608,-54.8883811496,-54.8883811496
25.35,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989,-64.9677867926,-54.8883796989,-54.8883796989
25.4,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694,-64.9681057349,-54.8883782694,-54.8883782694
25.45,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609,-64.9684215194,-54.8883768609,-54.8883768609
25.5,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729,-64.9687341773,-54.8883754729,-54.8883754729
25.55,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053,-64.9690437396,-54.8883741053,-54.8883741053
25.6,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576,-64.969350237,-54.8883727576,-54.8883727576
25.65,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297,-64.9696536996,-54.8883714297,-54.8883714297
