"time","AMPA","NMDA","GABAa"
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.65,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.95,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.1,0.0,0.0,0.0
2.15,0.0,0.0,0.0
2.2,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.3,0.0,0.0,0.0
2.35,0.0,0.0,0.0
2.4,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.6,0.0,0.0,0.0
2.65,0.0,0.0,0.0
2.7,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.8,0.0,0.0,0.0
2.85,0.0,0.0,0.0
2.9,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.1,0.0,0.0,0.0
3.15,0.0,0.0,0.0
3.2,0.0,0.0,0.0
3.25,0.0,0.0,0.0
3.3,0.0,0.0,0.0
3.35,0.0,0.0,0.0
3.4,0.0,0.0,0.0
3.45,0.0,0.0,0.0
3.5,0.0,0.0,0.0
3.55,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.65,0.0,0.0,0.0
3.7,0.0,0.0,0.0
3.75,0.0,0.0,0.0
3.8,0.0,0.0,0.0
3.85,0.0,0.0,0.0
3.9,0.0,0.0,0.0
3.95,0.0,0.0,0.0
4.0,0.0,0.0,0.0
4.05,0.0,0.0,0.0
4.1,0.0,0.0,0.0
4.15,0.0,0.0,0.0
4.2,0.0,0.0,0.0
4.25,0.0,0.0,0.0
4.3,0.0,0.0,0.0
4.35,0.0,0.0,0.0
4.4,0.0,0.0,0.0
4.45,0.0,0.0,0.0
4.5,0.0,0.0,0.0
4.55,0.0,0.0,0.0
4.6,0.0,0.0,0.0
4.65,0.0,0.0,0.0
4.7,0.0,0.0,0.0
4.75,0.0,0.0,0.0
4.8,0.0,0.0,0.0
4.85,0.0,0.0,0.0
4.9,0.0,0.0,0.0
4.95,0.0,0.0,0.0
5.0,0.0,0.0,0.0
5.05,0.0,0.0,0.0
5.1,0.0,0.0,0.0
5.15,0.0,0.0,0.0
5.2,0.0,0.0,0.0
5.25,0.0,0.0,0.0
5.3,0.0,0.0,0.0
5.35,0.0,0.0,0.0
5.4,0.0,0.0,0.0
5.45,0.0,0.0,0.0
5.5,0.0,0.0,0.0
5.55,0.0,0.0,0.0
5.6,0.0,0.0,0.0
5.65,0.0,0.0,0.0
5.7,0.0,0.0,0.0
5.75,0.0,0.0,0.0
5.8,0.0,0.0,0.0
5.85,0.0,0.0,0.0
5.9,0.0,0.0,0.0
5.95,0.0,0.0,0.0
6.0,0.0,0.0,0.0
6.05,0.0,0.0,0.0
6.1,0.0,0.0,0.0
6.15,0.0,0.0,0.0
6.2,0.0,0.0,0.0
